"STATION_ID","ACTUAL_DATE","VALUE"
"AMF","1900-10-01","60800"
"AMF","1900-11-01","128000"
"AMF","1900-12-01","95500"
"AMF","1901-01-01","208000"
"AMF","1901-02-01","535000"
"AMF","1901-03-01","406000"
"AMF","1901-04-01","706000"
"AMF","1901-05-01","690000"
"AMF","1901-06-01","411000"
"AMF","1901-07-01","104500"
"AMF","1901-08-01","21600"
"AMF","1901-09-01","29600"
"AMF","1901-10-01","46000"
"AMF","1901-11-01","66800"
"AMF","1901-12-01","93000"
"AMF","1902-01-01","64000"
"AMF","1902-02-01","418500"
"AMF","1902-03-01","379000"
"AMF","1902-04-01","565500"
"AMF","1902-05-01","580000"
"AMF","1902-06-01","280000"
"AMF","1902-07-01","69000"
"AMF","1902-08-01","18900"
"AMF","1902-09-01","11200"
"AMF","1902-10-01","27200"
"AMF","1902-11-01","44500"
"AMF","1902-12-01","85000"
"AMF","1903-01-01","223000"
"AMF","1903-02-01","186000"
"AMF","1903-03-01","555000"
"AMF","1903-04-01","543000"
"AMF","1903-05-01","547000"
"AMF","1903-06-01","218000"
"AMF","1903-07-01","55000"
"AMF","1903-08-01","21300"
"AMF","1903-09-01","10400"
"AMF","1903-10-01","15400"
"AMF","1903-11-01","182000"
"AMF","1903-12-01","63500"
"AMF","1904-01-01","71000"
"AMF","1904-02-01","672000"
"AMF","1904-03-01","1330000"
"AMF","1904-04-01","938000"
"AMF","1904-05-01","971000"
"AMF","1904-06-01","751000"
"AMF","1904-07-01","262500"
"AMF","1904-08-01","62000"
"AMF","1904-09-01","71300"
"AMF","1904-10-01","140500"
"AMF","1904-11-01","59700"
"AMF","1904-12-01","65300"
"AMF","1905-01-01","204800"
"AMF","1905-02-01","238700"
"AMF","1905-03-01","383100"
"AMF","1905-04-01","417100"
"AMF","1905-05-01","389400"
"AMF","1905-06-01","192200"
"AMF","1905-07-01","49500"
"AMF","1905-08-01","21800"
"AMF","1905-09-01","12200"
"AMF","1905-10-01","13800"
"AMF","1905-11-01","18100"
"AMF","1905-12-01","20300"
"AMF","1906-01-01","450700"
"AMF","1906-02-01","333300"
"AMF","1906-03-01","877900"
"AMF","1906-04-01","724700"
"AMF","1906-05-01","939300"
"AMF","1906-06-01","965700"
"AMF","1906-07-01","396900"
"AMF","1906-08-01","67700"
"AMF","1906-09-01","29500"
"AMF","1906-10-01","23100"
"AMF","1906-11-01","40100"
"AMF","1906-12-01","248700"
"AMF","1907-01-01","259700"
"AMF","1907-02-01","826300"
"AMF","1907-03-01","1524800"
"AMF","1907-04-01","932700"
"AMF","1907-05-01","761300"
"AMF","1907-06-01","673700"
"AMF","1907-07-01","345900"
"AMF","1907-08-01","97200"
"AMF","1907-09-01","53000"
"AMF","1907-10-01","45800"
"AMF","1907-11-01","54500"
"AMF","1907-12-01","114400"
"AMF","1908-01-01","164400"
"AMF","1908-02-01","117000"
"AMF","1908-03-01","207000"
"AMF","1908-04-01","274100"
"AMF","1908-05-01","294700"
"AMF","1908-06-01","166700"
"AMF","1908-07-01","59300"
"AMF","1908-08-01","17400"
"AMF","1908-09-01","11200"
"AMF","1908-10-01","26600"
"AMF","1908-11-01","33400"
"AMF","1908-12-01","39800"
"AMF","1909-01-01","1495100"
"AMF","1909-02-01","867200"
"AMF","1909-03-01","404100"
"AMF","1909-04-01","480600"
"AMF","1909-05-01","596100"
"AMF","1909-06-01","468600"
"AMF","1909-07-01","149100"
"AMF","1909-08-01","42600"
"AMF","1909-09-01","21200"
"AMF","1909-10-01","35600"
