@relation 'AmericanRiv_TrainNoWaterYear-weka.filters.unsupervised.attribute.Remove-R6-9,15-18,24-27,33-36,42-45,51-54,60-63,69-72,78-81,87-90,93-95,98-101,104-107,110-112,115-117,120-122,124-126,129-133,136-138,140-142,145-147,150-152,154-157,160-162,164-168,170-172,174-177,179-181,184-185,188-190,193-195,198-200,202-204,206-208,210-212,218-221'

@attribute CPT_RAIN_OCT numeric
@attribute CPT_RAIN_NOV numeric
@attribute CPT_RAIN_DEC numeric
@attribute CPT_RAIN_JAN numeric
@attribute CPT_RAIN_FEB numeric
@attribute TAC_RAIN_OCT numeric
@attribute TAC_RAIN_NOV numeric
@attribute TAC_RAIN_DEC numeric
@attribute TAC_RAIN_JAN numeric
@attribute TAC_RAIN_FEB numeric
@attribute TKE_RAIN_OCT numeric
@attribute TKE_RAIN_NOV numeric
@attribute TKE_RAIN_DEC numeric
@attribute TKE_RAIN_JAN numeric
@attribute TKE_RAIN_FEB numeric
@attribute BYM_RAIN_OCT numeric
@attribute BYM_RAIN_NOV numeric
@attribute BYM_RAIN_DEC numeric
@attribute BYM_RAIN_JAN numeric
@attribute BYM_RAIN_FEB numeric
@attribute LSP_RAIN_OCT numeric
@attribute LSP_RAIN_NOV numeric
@attribute LSP_RAIN_DEC numeric
@attribute LSP_RAIN_JAN numeric
@attribute LSP_RAIN_FEB numeric
@attribute SSR_RAIN_OCT numeric
@attribute SSR_RAIN_NOV numeric
@attribute SSR_RAIN_DEC numeric
@attribute SSR_RAIN_JAN numeric
@attribute SSR_RAIN_FEB numeric
@attribute PCF_RAIN_OCT numeric
@attribute PCF_RAIN_NOV numeric
@attribute PCF_RAIN_DEC numeric
@attribute PCF_RAIN_JAN numeric
@attribute PCF_RAIN_FEB numeric
@attribute GRG_RAIN_OCT numeric
@attribute GRG_RAIN_NOV numeric
@attribute GRG_RAIN_DEC numeric
@attribute GRG_RAIN_JAN numeric
@attribute GRG_RAIN_FEB numeric
@attribute FDD_RAIN_OCT numeric
@attribute FDD_RAIN_NOV numeric
@attribute FDD_RAIN_DEC numeric
@attribute FDD_RAIN_JAN numeric
@attribute FDD_RAIN_FEB numeric
@attribute PCV_RAIN_OCT numeric
@attribute PCV_RAIN_NOV numeric
@attribute PCV_RAIN_DEC numeric
@attribute PCV_RAIN_JAN numeric
@attribute PCV_RAIN_FEB numeric
@attribute APH_SNOW_JAN numeric
@attribute APH_SNOW_FEB numeric
@attribute CAP_SNOW_JAN numeric
@attribute CAP_SNOW_FEB numeric
@attribute CC5_SNOW_JAN numeric
@attribute CC5_SNOW_FEB numeric
@attribute CCO_SNOW_JAN numeric
@attribute CCO_SNOW_FEB numeric
@attribute DRR_SNOW_JAN numeric
@attribute DRR_SNOW_FEB numeric
@attribute DNS_SNOW_JAN numeric
@attribute DNS_SNOW_FEB numeric
@attribute HYS_SNOW_FEB numeric
@attribute ABN_SNOW_JAN numeric
@attribute ABN_SNOW_FEB numeric
@attribute SPD_SNOW_JAN numeric
@attribute SPD_SNOW_FEB numeric
@attribute LCR_SNOW_FEB numeric
@attribute LCP_SNOW_JAN numeric
@attribute LCP_SNOW_FEB numeric
@attribute LYN_SNOW_JAN numeric
@attribute LYN_SNOW_FEB numeric
@attribute ONN_SNOW_FEB numeric
@attribute PHL_SNOW_JAN numeric
@attribute PHL_SNOW_FEB numeric
@attribute RBV_SNOW_FEB numeric
@attribute RP2_SNOW_FEB numeric
@attribute SIL_SNOW_FEB numeric
@attribute SQ2_SNOW_FEB numeric
@attribute STW_SNOW_JAN numeric
@attribute STW_SNOW_FEB numeric
@attribute TBC_SNOW_JAN numeric
@attribute TBC_SNOW_FEB numeric
@attribute TMF_SNOW_JAN numeric
@attribute TMF_SNOW_FEB numeric
@attribute UCP_SNOW_JAN numeric
@attribute UCP_SNOW_FEB numeric
@attribute WBM_SNOW_FEB numeric
@attribute WR2_SNOW_FEB numeric
@attribute WRG_SNOW_FEB numeric
@attribute OCT_FNF numeric
@attribute NOV_FNF numeric
@attribute DEC_FNF numeric
@attribute JAN_FNF numeric
@attribute FEB_FNF numeric
@attribute APR_JUL_SUM_FNF numeric

@data
?,?,?,?,?,?,?,?,?,?,1.02,2.5,2.7,5,7.97,?,?,?,?,?,11.11,14.3,5.9,14.91,20.04,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.62,9.82,3.3,9.95,9.53,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60800,128000,95500,208000,535000,1911500
?,?,?,?,?,?,?,?,?,?,2.78,3.63,1.55,1.1,3.3,?,?,?,?,?,4.45,6.78,5.92,2.45,25.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.12,3.74,3.58,1.35,10.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46000,66800,93000,64000,418500,1494500
?,?,?,?,?,?,?,?,?,?,0.5,2.2,3.6,8,1,?,?,?,?,?,5.47,8.71,9.95,13.84,3.31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.27,4.59,4.42,9.33,2.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,27200,44500,85000,223000,186000,1363000
?,?,?,?,?,?,?,?,?,?,1.02,8.21,0.4,1.1,16.41,?,?,?,?,?,3.1,20.36,4.13,4.46,34.26,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.73,10.26,1.86,2.96,15.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,15400,182000,63500,71000,672000,2922500
?,?,?,?,?,?,?,?,?,?,3.64,0,3.78,2.59,2.4,?,?,?,?,?,10.13,3.7,8.89,8.01,7.25,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.95,1.95,4.27,3.27,5.23,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,140500,59700,65300,204800,238700,1048200
?,?,?,?,?,?,?,?,?,?,0,3.4,2.9,12.11,3.8,?,?,?,?,?,0.3,5.6,3.64,25.23,13.64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,3,2.73,14.36,7.99,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13800,18100,20300,450700,333300,3026600
?,?,?,?,?,?,?,?,?,?,0.26,0.98,5.1,8.85,2.3,?,?,?,?,?,0.58,4.97,20.56,14.59,11.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.69,15.02,8.13,8.15,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23100,40100,248700,259700,826300,2713600
?,?,?,?,?,?,?,?,?,?,1.36,0.3,7.58,1.5,2.58,?,?,?,?,?,2.47,0.5,18.15,8.35,6.31,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.91,0.21,9.54,5.55,3.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45800,54500,114400,164400,117000,794800
?,?,?,?,?,?,?,?,?,?,0.56,0.94,1,13.95,6.2,?,?,?,?,?,5.06,4.8,5.27,49.02,18.12,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,2.09,3.51,24.35,9.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26600,33400,39800,1495100,867200,1694400
?,?,?,?,?,3.35,7.53,8.92,4.81,3.94,0.25,2.76,12.21,6.9,2.4,?,?,?,?,?,6.14,17.98,15.85,11.71,8.77,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.58,8.64,8.32,6.79,5.03,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35600,278800,475900,527900,294500,1317400
?,?,?,?,?,0.1,3.05,3.9,21.21,3.8,0,0.3,2.8,7.75,5.3,?,?,?,?,?,1.72,5.06,7.9,32.22,7.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.79,2.23,4.3,28.76,4.07,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25800,38600,103100,859700,593300,3073600
?,?,?,?,?,0.01,1.79,1.9,2.49,0,0,0.6,4.2,1.8,0,?,?,?,?,?,1.56,3.35,4.37,8.14,1.83,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.98,1.79,2.1,5,0.11,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25900,31100,28300,73200,49300,968500
?,?,?,?,?,0.65,3.11,2.09,7.44,0.63,0.2,1.2,0,7.3,0.9,?,?,?,?,?,3.3,8.46,3.92,9.88,1.68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.58,3.84,1.81,6.67,0.47,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19900,94700,42000,100200,75200,1031300
?,?,?,?,?,0.1,4.05,9.71,20.49,5.26,0.02,2.51,4.23,20.95,3.8,?,?,?,?,?,0,11.09,19.02,29.82,10.75,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,5.24,7.85,18.59,6.72,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13800,37400,137600,1056400,396300,1844800
?,?,?,?,?,1.28,0.5,3.36,5.18,10.68,0.78,0.69,3.5,5.38,9.5,?,?,?,?,?,4.37,0.65,7.2,11.03,12.8,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.73,1.11,7.35,7.14,14.29,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,25400,29900,47000,100300,516800,2092900
?,?,?,?,?,0,2.43,6.2,18.2,4.62,0,1.6,2.5,14.38,1.8,?,?,?,?,?,0.25,4.13,10.8,32.45,11.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.19,7.52,18.4,7.02,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20400,30300,86600,482000,592400,1869900
?,?,?,?,?,1.2,2.46,7.06,2.23,11.98,0.81,1.15,5.9,1.4,5.5,?,?,?,?,?,3.8,5.32,14.23,5.05,18.65,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.48,2.79,7.09,2.45,10.08,?,?,?,?,?,?,?,?,?,?,21.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45000,45800,129400,103100,411800,1861300
?,?,?,?,?,0.13,1.12,3.38,1.15,9.28,0,1.06,1.1,0.6,7.87,?,?,?,?,?,0,1.59,3.75,2.85,14.7,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.65,0.68,1.45,11.3,?,?,?,?,?,?,?,?,?,?,25.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,15800,17600,37600,23100,129100,925800
?,?,?,?,?,3.01,2.97,1.33,2.15,14.2,2.04,1.1,0.7,1.7,13.9,?,?,?,?,?,3.97,7.08,3.07,5.35,24.36,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.93,3.61,1.8,3.36,15.56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,61500,54400,49300,46400,365300,1311200
0.69,1.41,9.35,0.45,3.57,0.57,0.88,7.19,0.9,2.17,0,0.6,6.55,0,1.2,?,?,?,?,?,2.54,2.22,10.71,1.9,5.05,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.43,0.79,7.96,1.25,2.53,?,?,?,?,?,?,?,?,?,?,13.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,12900,15400,47100,43800,41800,1040700
8.31,4.37,11.27,26.6,2.5,4.19,5.02,7.7,10.28,2.66,0,0,0,?,?,?,?,?,?,?,9.17,15.77,14.07,16.16,5.43,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,5.89,6.93,9.85,10.86,3.68,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,37900,157400,275100,467800,319700,1392100
1.25,3.15,9.5,4.4,12.4,0.52,1.31,8.42,2.95,13.19,?,?,?,?,?,?,?,?,?,?,1.77,3.16,18.21,5.77,25.29,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.88,2.08,9.3,4.58,14.29,?,?,?,?,?,?,?,?,?,?,18,24.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,14200,38800,131000,112700,360100,2278100
1.2,3.04,15.9,8.4,3.8,1.05,3.72,10.88,5.79,1.5,?,?,?,?,?,?,?,?,?,?,3,8.85,17.58,10.19,3.84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.77,9.55,15.61,7.7,2.45,?,?,?,?,?,?,?,?,?,?,33.4,47.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,19300,55800,398000,275000,182800,1560200
1.82,0.7,5.2,4.26,0.3,1.69,0.64,2.65,1.54,1.06,?,?,?,?,?,?,?,?,?,?,2.22,1.41,7.1,4.02,5.96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.11,0.51,4.27,3,3.28,?,?,?,?,?,?,?,?,?,?,4.2,10.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23200,21100,26800,41900,112100,257300
4.02,2.25,6.85,3,10.28,2.63,2.15,3.55,0.94,8.02,?,?,?,?,?,?,?,?,?,?,9.78,4.75,11.77,4.95,17.81,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,6.11,2.89,7.97,2.06,13.3,?,?,?,?,?,?,?,9.6,?,?,10.1,14.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13300,57300,85900,87200,598300,1545800
1.95,3,1.52,2.98,9.7,1.14,2.14,2.1,3.93,6.95,?,?,?,?,?,?,?,?,?,?,2.75,6.51,3.84,7.66,14.56,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.11,2.88,2.84,3.89,10.46,?,?,?,?,?,?,?,?,?,?,4.2,18.5,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,20100,32800,53700,48100,260500,770400
0.6,11.9,4,6.85,8.5,1.3,10.61,1.68,4.88,8.84,?,?,?,?,?,?,?,?,?,?,4.19,20.27,2.8,10.4,22.14,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.68,11.56,2.37,6.76,10.98,?,?,?,?,?,?,?,?,?,?,15.9,19.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13200,180500,141500,222400,774500,1850800
3.6,2.7,3.25,4.71,4.3,3,5.35,3.29,1.92,1.11,?,?,?,?,?,?,?,?,?,?,4.26,12.98,5.37,5.1,4.16,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.63,5.65,5.71,2.67,3.08,?,?,?,?,?,?,?,?,?,?,11.1,15.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,17400,113400,99100,108500,138300,1048800
0.2,2.25,6.69,4.16,4.38,0.27,2.12,4,1.85,3.14,?,?,?,?,?,?,?,?,?,?,0.75,5.37,6.75,3.66,5.97,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.02,3.2,4.1,3.15,4.6,?,?,?,?,?,?,?,?,?,?,11.6,15.4,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,11600,27500,38300,41700,98800,778700
0.45,0,6.3,13.26,10.93,0.1,0,9.46,6.08,4.65,?,?,?,?,?,?,?,?,?,?,0.35,0,20.3,10.37,6.64,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.38,0,7.77,7.63,4.21,?,?,?,?,?,?,?,?,?,?,6,17.2,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,10.2,?,?,?,?,?,?,?,9.6,20.1,?,?,?,11300,11800,162000,144000,151000,829200
0.45,6.2,0.62,6.93,4.19,0.26,3.95,0.23,4.22,2.38,?,?,?,?,?,?,?,?,?,?,0.39,9.5,0.99,9.26,5.57,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.35,4.54,0.53,6,4.28,?,?,?,?,?,?,?,?,?,?,15.3,18.3,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,8.8,?,?,?,?,?,?,?,8,9.7,?,?,?,16800,34100,21000,57000,75400,363900
0.7,5.4,14.69,4.96,5.43,1.93,3.12,11.93,5.2,6.61,?,?,?,?,?,?,?,?,?,?,7.4,6.72,17.16,10.08,8.23,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.7,5.62,13.83,6.2,5.72,?,?,?,?,?,?,?,?,?,?,?,48.1,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35.3,?,?,?,?,?,?,?,?,52.6,?,?,?,16000,30300,165000,161100,319600,1579800
