"BASIN_NUM","LATITUDE","STATION_ID","COURSE_NUM","APR1_AVG"
"7701","38.805","APH","365","33.8"
"7701","38.71","CAP","107","30.8"
"7701","39.303","CPF","128","14.9"
"7401","39.353","CC5","65","52.1"
"7401","39.303","CCO","80","27.6"
"7701","38.825","DRR","111","29.1"
"7401","39.31","DNS","69","38.6"
"7701","39.282","HYS","115","45"
"7701","38.82","ABN","110","35.3"
"10601","38.86","LLL","96","59.1"
"7401","39.317","SPD","85","21.3"
"7701","39.017","LCR","338","36.2"
"7701","38.693","LCP","331","39.2"
"7701","38.812","LYN","320","31.8"
"7701","39.275","ONN","120","19.6"
"7701","38.818","PHL","113","27.6"
"7701","38.922","RBV","322","15.6"
"10601","38.992","RP1","97","48"
"10601","39.001","RP2","99","30.8"
"7701","38.678","SIL","109","21"
"7701","39.315","SXV","123","22.1"
"10501","39.188","SQ2","318","48.4"
"7701","38.793","STW","124","7.4"
"7701","39.193","TBC","122","20.9"
"7701","38.807","TMF","289","28.4"
"7701","38.695","UCP","106","36.2"
"7701","39.227","WBM","114","42.8"
"10601","39.142","WR2","101","41.8"
"7701","38.847","WRG","316","32.8"

