@relation AmericanRiv_Forecasts1

@attribute CPT_RAIN_OCT numeric
@attribute CPT_RAIN_NOV numeric
@attribute CPT_RAIN_DEC numeric
@attribute CPT_RAIN_JAN numeric
@attribute CPT_RAIN_FEB numeric
@attribute CPT_RAIN_MAR numeric
@attribute CPT_RAIN_APR numeric
@attribute CPT_RAIN_MAY numeric
@attribute CPT_RAIN_JUN numeric
@attribute TAC_RAIN_OCT numeric
@attribute TAC_RAIN_NOV numeric
@attribute TAC_RAIN_DEC numeric
@attribute TAC_RAIN_JAN numeric
@attribute TAC_RAIN_FEB numeric
@attribute TAC_RAIN_MAR numeric
@attribute TAC_RAIN_APR numeric
@attribute TAC_RAIN_MAY numeric
@attribute TAC_RAIN_JUN numeric
@attribute TKE_RAIN_OCT numeric
@attribute TKE_RAIN_NOV numeric
@attribute TKE_RAIN_DEC numeric
@attribute TKE_RAIN_JAN numeric
@attribute TKE_RAIN_FEB numeric
@attribute TKE_RAIN_MAR numeric
@attribute TKE_RAIN_APR numeric
@attribute TKE_RAIN_MAY numeric
@attribute TKE_RAIN_JUN numeric
@attribute BYM_RAIN_OCT numeric
@attribute BYM_RAIN_NOV numeric
@attribute BYM_RAIN_DEC numeric
@attribute BYM_RAIN_JAN numeric
@attribute BYM_RAIN_FEB numeric
@attribute BYM_RAIN_MAR numeric
@attribute BYM_RAIN_APR numeric
@attribute BYM_RAIN_MAY numeric
@attribute BYM_RAIN_JUN numeric
@attribute LSP_RAIN_OCT numeric
@attribute LSP_RAIN_NOV numeric
@attribute LSP_RAIN_DEC numeric
@attribute LSP_RAIN_JAN numeric
@attribute LSP_RAIN_FEB numeric
@attribute LSP_RAIN_MAR numeric
@attribute LSP_RAIN_APR numeric
@attribute LSP_RAIN_MAY numeric
@attribute LSP_RAIN_JUN numeric
@attribute SSR_RAIN_OCT numeric
@attribute SSR_RAIN_NOV numeric
@attribute SSR_RAIN_DEC numeric
@attribute SSR_RAIN_JAN numeric
@attribute SSR_RAIN_FEB numeric
@attribute SSR_RAIN_MAR numeric
@attribute SSR_RAIN_APR numeric
@attribute SSR_RAIN_MAY numeric
@attribute SSR_RAIN_JUN numeric
@attribute PCF_RAIN_OCT numeric
@attribute PCF_RAIN_NOV numeric
@attribute PCF_RAIN_DEC numeric
@attribute PCF_RAIN_JAN numeric
@attribute PCF_RAIN_FEB numeric
@attribute PCF_RAIN_MAR numeric
@attribute PCF_RAIN_APR numeric
@attribute PCF_RAIN_MAY numeric
@attribute PCF_RAIN_JUN numeric
@attribute GRG_RAIN_OCT numeric
@attribute GRG_RAIN_NOV numeric
@attribute GRG_RAIN_DEC numeric
@attribute GRG_RAIN_JAN numeric
@attribute GRG_RAIN_FEB numeric
@attribute GRG_RAIN_MAR numeric
@attribute GRG_RAIN_APR numeric
@attribute GRG_RAIN_MAY numeric
@attribute GRG_RAIN_JUN numeric
@attribute FDD_RAIN_OCT numeric
@attribute FDD_RAIN_NOV numeric
@attribute FDD_RAIN_DEC numeric
@attribute FDD_RAIN_JAN numeric
@attribute FDD_RAIN_FEB numeric
@attribute FDD_RAIN_MAR numeric
@attribute FDD_RAIN_APR numeric
@attribute FDD_RAIN_MAY numeric
@attribute FDD_RAIN_JUN numeric
@attribute PCV_RAIN_OCT numeric
@attribute PCV_RAIN_NOV numeric
@attribute PCV_RAIN_DEC numeric
@attribute PCV_RAIN_JAN numeric
@attribute PCV_RAIN_FEB numeric
@attribute PCV_RAIN_MAR numeric
@attribute PCV_RAIN_APR numeric
@attribute PCV_RAIN_MAY numeric
@attribute PCV_RAIN_JUN numeric
@attribute APH_SNOW_JAN numeric
@attribute APH_SNOW_FEB numeric
@attribute APH_SNOW_MAR numeric
@attribute APH_SNOW_APR numeric
@attribute APH_SNOW_MAY numeric
@attribute CAP_SNOW_JAN numeric
@attribute CAP_SNOW_FEB numeric
@attribute CAP_SNOW_MAR numeric
@attribute CAP_SNOW_APR numeric
@attribute CAP_SNOW_MAY numeric
@attribute CPF_SNOW_APR numeric
@attribute CC5_SNOW_JAN numeric
@attribute CC5_SNOW_FEB numeric
@attribute CC5_SNOW_MAR numeric
@attribute CC5_SNOW_APR numeric
@attribute CC5_SNOW_MAY numeric
@attribute CC5_SNOW_JUN numeric
@attribute CCO_SNOW_JAN numeric
@attribute CCO_SNOW_FEB numeric
@attribute CCO_SNOW_MAR numeric
@attribute CCO_SNOW_APR numeric
@attribute CCO_SNOW_MAY numeric
@attribute DRR_SNOW_JAN numeric
@attribute DRR_SNOW_FEB numeric
@attribute DRR_SNOW_MAR numeric
@attribute DRR_SNOW_APR numeric
@attribute DRR_SNOW_MAY numeric
@attribute DNS_SNOW_JAN numeric
@attribute DNS_SNOW_FEB numeric
@attribute DNS_SNOW_MAR numeric
@attribute DNS_SNOW_APR numeric
@attribute DNS_SNOW_MAY numeric
@attribute HYS_SNOW_FEB numeric
@attribute HYS_SNOW_MAR numeric
@attribute HYS_SNOW_APR numeric
@attribute HYS_SNOW_MAY numeric
@attribute ABN_SNOW_JAN numeric
@attribute ABN_SNOW_FEB numeric
@attribute ABN_SNOW_MAR numeric
@attribute ABN_SNOW_APR numeric
@attribute ABN_SNOW_MAY numeric
@attribute LLL_SNOW_MAR numeric
@attribute LLL_SNOW_APR numeric
@attribute SPD_SNOW_JAN numeric
@attribute SPD_SNOW_FEB numeric
@attribute SPD_SNOW_MAR numeric
@attribute SPD_SNOW_APR numeric
@attribute SPD_SNOW_MAY numeric
@attribute LCR_SNOW_FEB numeric
@attribute LCR_SNOW_MAR numeric
@attribute LCR_SNOW_APR numeric
@attribute LCR_SNOW_MAY numeric
@attribute LCP_SNOW_JAN numeric
@attribute LCP_SNOW_FEB numeric
@attribute LCP_SNOW_MAR numeric
@attribute LCP_SNOW_APR numeric
@attribute LCP_SNOW_MAY numeric
@attribute LYN_SNOW_JAN numeric
@attribute LYN_SNOW_FEB numeric
@attribute LYN_SNOW_MAR numeric
@attribute LYN_SNOW_APR numeric
@attribute LYN_SNOW_MAY numeric
@attribute ONN_SNOW_FEB numeric
@attribute ONN_SNOW_MAR numeric
@attribute ONN_SNOW_APR numeric
@attribute ONN_SNOW_MAY numeric
@attribute ONN_SNOW_JUN numeric
@attribute PHL_SNOW_JAN numeric
@attribute PHL_SNOW_FEB numeric
@attribute PHL_SNOW_MAR numeric
@attribute PHL_SNOW_APR numeric
@attribute PHL_SNOW_MAY numeric
@attribute RBV_SNOW_FEB numeric
@attribute RBV_SNOW_MAR numeric
@attribute RBV_SNOW_APR numeric
@attribute RBV_SNOW_MAY numeric
@attribute RP1_SNOW_MAR numeric
@attribute RP1_SNOW_APR numeric
@attribute RP2_SNOW_FEB numeric
@attribute RP2_SNOW_MAR numeric
@attribute RP2_SNOW_APR numeric
@attribute RP2_SNOW_MAY numeric
@attribute SIL_SNOW_FEB numeric
@attribute SIL_SNOW_MAR numeric
@attribute SIL_SNOW_APR numeric
@attribute SIL_SNOW_MAY numeric
@attribute SXV_SNOW_APR numeric
@attribute SQ2_SNOW_FEB numeric
@attribute SQ2_SNOW_MAR numeric
@attribute SQ2_SNOW_APR numeric
@attribute SQ2_SNOW_MAY numeric
@attribute STW_SNOW_JAN numeric
@attribute STW_SNOW_FEB numeric
@attribute STW_SNOW_MAR numeric
@attribute STW_SNOW_APR numeric
@attribute TBC_SNOW_JAN numeric
@attribute TBC_SNOW_FEB numeric
@attribute TBC_SNOW_MAR numeric
@attribute TBC_SNOW_APR numeric
@attribute TBC_SNOW_MAY numeric
@attribute TMF_SNOW_JAN numeric
@attribute TMF_SNOW_FEB numeric
@attribute TMF_SNOW_MAR numeric
@attribute TMF_SNOW_APR numeric
@attribute TMF_SNOW_MAY numeric
@attribute UCP_SNOW_JAN numeric
@attribute UCP_SNOW_FEB numeric
@attribute UCP_SNOW_MAR numeric
@attribute UCP_SNOW_APR numeric
@attribute UCP_SNOW_MAY numeric
@attribute WBM_SNOW_FEB numeric
@attribute WBM_SNOW_MAR numeric
@attribute WBM_SNOW_APR numeric
@attribute WBM_SNOW_MAY numeric
@attribute WR2_SNOW_FEB numeric
@attribute WR2_SNOW_MAR numeric
@attribute WR2_SNOW_APR numeric
@attribute WR2_SNOW_MAY numeric
@attribute WRG_SNOW_FEB numeric
@attribute WRG_SNOW_MAR numeric
@attribute WRG_SNOW_APR numeric
@attribute WRG_SNOW_MAY numeric
@attribute OCT_FNF numeric
@attribute NOV_FNF numeric
@attribute DEC_FNF numeric
@attribute JAN_FNF numeric
@attribute FEB_FNF numeric
@attribute MAR_FNF numeric
@attribute APR_FNF numeric
@attribute MAY_FNF numeric
@attribute JUN_FNF numeric
@attribute APR_JUL_SUM_FNF numeric

@data
1.75,3.76,0.48,12.41,6.75902,6.2128,3.829,2.3008,1.081224,1.89,2.16,0.93,11.86,5.253725,4.263725,2.056863,1.233725,0.746667,1.48,1.89,0.94,9.72,4.846078,4.203333,2.131961,1.253725,0.729804,3.42,7.1,1.66,18.29,12.694,7.468667,5.996,4.656,0.807333,3.55,6.78,1.7,20.92,11.51098,10.327843,5.876078,3.385882,1.093137,1.65,4.27,0.41,15.03,7.352727,5.386364,4.767273,2.813636,0.34,2.03,5.61,2.08,17.13,8.039804,7.391176,4.581176,2.403137,0.699608,2.77,5.91,1.52,15.14,8.556471,7.771961,4.522549,1.967451,0.646078,1.26,4.28,0.87,12.4,5.879608,5.587647,3.327451,1.517647,0.399804,1.43,4.31,0.89,12.25,6.046471,5.549608,3.227647,1.467059,0.389216,1.7,21.259091,28.906977,33.463043,25.953333,?,19.183333,25.491837,29.64902,23,13.458333,7.2,31.424,42.108,48.46,44.433333,28.643333,?,18.702381,25.781395,27.429412,18.192308,3.1,19.822857,27.357143,27.87907,18.94,?,24.182353,32.711765,36.629412,27.321277,26.514583,36.473469,41.882,36.194118,4.8,22.07907,30.109302,33.537843,28.151163,49.623529,58.153061,?,13.434091,19.465909,20.570588,11.46,22.641667,31.17551,35.48,29.143,?,22.725,32.453061,37.278,32.222449,4.1,20.280392,27.817647,31.59,23.655882,15.464583,20.191837,19.021277,10.622449,6.1625,3,18.807843,24.954902,26.070588,15.009804,12.587647,16.938627,15.349608,6.894583,39.046154,46.867568,20.404348,25.311905,30.118367,27.090909,14.415686,19.116,19.543137,10.510811,21.223684,29.104545,39.630612,47.345652,55.9,?,8.936667,10.403333,6.846667,?,14.839024,20.763415,19.486136,9.447368,3,18.5,24.924,27.643137,18.402,?,21.7,30.116939,33.945098,28.241837,24.204762,33.818182,39.738636,33.351282,23.769388,32.228,37.545098,33.06,21,28.427451,32.194118,25.576471,18588,34349,40630,316077,337236.7059,402339.1961,420377.6863,479667.9782,255240.4118,1108933
1.75,3.76,0.48,12.41,11.18,6.2128,3.829,2.3008,1.081224,1.89,2.16,0.93,11.86,8.8,4.263725,2.056863,1.233725,0.746667,1.48,1.89,0.94,9.72,8.86,4.203333,2.131961,1.253725,0.729804,3.42,7.1,1.66,18.29,23.07,7.468667,5.996,4.656,0.807333,3.55,6.78,1.7,20.92,24.81,10.327843,5.876078,3.385882,1.093137,1.65,4.27,0.41,15.03,14.35,5.386364,4.767273,2.813636,0.34,2.03,5.61,2.08,17.13,16.53,7.391176,4.581176,2.403137,0.699608,2.77,5.91,1.52,15.14,21.25,7.771961,4.522549,1.967451,0.646078,1.26,4.28,0.87,12.4,14.09,5.587647,3.327451,1.517647,0.399804,1.43,4.31,0.89,12.25,14.95,5.549608,3.227647,1.467059,0.389216,1.7,14.6,28.906977,33.463043,25.953333,?,15.8,25.491837,29.64902,23,13.458333,7.2,23.4,42.108,48.46,44.433333,28.643333,?,12,25.781395,27.429412,18.192308,3.1,18.3,27.357143,27.87907,18.94,?,20,32.711765,36.629412,27.321277,20.1,36.473469,41.882,36.194118,4.8,18.2,30.109302,33.537843,28.151163,49.623529,58.153061,?,3.6,19.465909,20.570588,11.46,18.3,31.17551,35.48,29.143,?,19.5,32.453061,37.278,32.222449,4.1,14,27.817647,31.59,23.655882,11.4,20.191837,19.021277,10.622449,6.1625,3,13.6,24.954902,26.070588,15.009804,4.7,16.938627,15.349608,6.894583,39.046154,46.867568,17.4,25.311905,30.118367,27.090909,18.3,19.116,19.543137,10.510811,21.223684,22.9,39.630612,47.345652,55.9,?,?,10.403333,6.846667,?,9,20.763415,19.486136,9.447368,3,14.5,24.924,27.643137,18.402,?,20.8,30.116939,33.945098,28.241837,16.2,33.818182,39.738636,33.351282,19.3,32.228,37.545098,33.06,13.6,28.427451,32.194118,25.576471,18588,34349,40630,316077,677762,402339.1961,420377.6863,479667.9782,255240.4118,1108933
1.75,3.76,0.48,12.41,11.18,1.68,3.829,2.3008,1.081224,1.89,2.16,0.93,11.86,8.8,0.5,2.056863,1.233725,0.746667,1.48,1.89,0.94,9.72,8.86,0.79,2.131961,1.253725,0.729804,3.42,7.1,1.66,18.29,23.07,4.37,5.996,4.656,0.807333,3.55,6.78,1.7,20.92,24.81,4.11,5.876078,3.385882,1.093137,1.65,4.27,0.41,15.03,14.35,1.61,4.767273,2.813636,0.34,2.03,5.61,2.08,17.13,16.53,2.08,4.581176,2.403137,0.699608,2.77,5.91,1.52,15.14,21.25,3.22,4.522549,1.967451,0.646078,1.26,4.28,0.87,12.4,14.09,1.73,3.327451,1.517647,0.399804,1.43,4.31,0.89,12.25,14.95,2.36,3.227647,1.467059,0.389216,1.7,14.6,30.3,33.463043,25.953333,?,15.8,25.4,29.64902,23,13.458333,7.2,23.4,50.4,48.46,44.433333,28.643333,?,12,28.8,27.429412,18.192308,3.1,18.3,33.2,27.87907,18.94,?,20,39.6,36.629412,27.321277,20.1,37.4,41.882,36.194118,4.8,18.2,30.3,33.537843,28.151163,46.7,58.153061,?,3.6,17.2,20.570588,11.46,18.3,36,35.48,29.143,?,19.5,32.4,37.278,32.222449,4.1,14,25.7,31.59,23.655882,11.4,33.5,19.021277,10.622449,6.1625,3,13.6,28.3,26.070588,15.009804,4.7,17.1,15.349608,6.894583,?,46.867568,17.4,29.1,30.118367,27.090909,18.3,32.7,19.543137,10.510811,21.223684,22.9,38.4,47.345652,55.9,?,?,?,6.846667,?,9,21.6,19.486136,9.447368,3,14.5,28.8,27.643137,18.402,?,20.8,29.6,33.945098,28.241837,16.2,34.9,39.738636,33.351282,19.3,34.7,37.545098,33.06,13.6,34,32.194118,25.576471,18588,34349,40630,316077,677762,430604,420377.6863,479667.9782,255240.4118,1108933
1.75,3.76,0.48,12.41,11.18,1.68,1.34,2.3008,1.081224,1.89,2.16,0.93,11.86,8.8,0.5,1.63,1.233725,0.746667,1.48,1.89,0.94,9.72,8.86,0.79,2.37,1.253725,0.729804,3.42,7.1,1.66,18.29,23.07,4.37,3.24,4.656,0.807333,3.55,6.78,1.7,20.92,24.81,4.11,3.58,3.385882,1.093137,1.65,4.27,0.41,15.03,14.35,1.61,3.61,2.813636,0.34,2.03,5.61,2.08,17.13,16.53,2.08,2.85,2.403137,0.699608,2.77,5.91,1.52,15.14,21.25,3.22,2.71,1.967451,0.646078,1.26,4.28,0.87,12.4,14.09,1.73,2.29,1.517647,0.399804,1.43,4.31,0.89,12.25,14.95,2.36,2.68,1.467059,0.389216,1.7,14.6,30.3,29.7,25.953333,?,15.8,25.4,28.4,23,?,7.2,23.4,50.4,53.3,44.433333,28.643333,?,12,28.8,26.7,18.192308,3.1,18.3,33.2,28.5,18.94,?,20,39.6,37.6,27.321277,20.1,37.4,42,36.194118,4.8,18.2,30.3,33.537843,28.151163,46.7,52.2,?,3.6,17.2,16.1,11.46,18.3,36,37,29.143,?,19.5,32.4,29.1,32.222449,4.1,14,25.7,27.1,23.655882,11.4,33.5,19.5,10.622449,6.1625,3,13.6,28.3,21.7,15.009804,4.7,17.1,8.1,6.894583,?,?,17.4,29.1,28.5,27.090909,18.3,32.7,16.6,10.510811,?,22.9,38.4,43.7,55.9,?,?,?,?,?,9,21.6,17.2,9.447368,3,14.5,28.8,24.6,18.402,?,20.8,29.6,30.5,28.241837,16.2,34.9,36,33.351282,19.3,34.7,33.6,33.06,13.6,34,30.2,25.576471,18588,34349,40630,316077,677762,430604,437786,479667.9782,255240.4118,1108933
3.05,1.57,2.05,4.45,6.75902,6.2128,3.829,2.3008,1.081224,2.57,1.95,1.53,1.88,5.253725,4.263725,2.056863,1.233725,0.746667,2.16,1.24,1.01,1.64,4.846078,4.203333,2.131961,1.253725,0.729804,6.76,2.47,4.1,5.52,12.694,7.468667,5.996,4.656,0.807333,6.45,2.18,4.26,5.97,11.51098,10.327843,5.876078,3.385882,1.093137,4.27,2.33,2.13,4.63,7.352727,5.386364,4.767273,2.813636,0.34,5.71,2.4,2.69,5.41,8.039804,7.391176,4.581176,2.403137,0.699608,6.86,2.33,2.62,4.28,8.556471,7.771961,4.522549,1.967451,0.646078,4.91,1.73,1.27,4.6,5.879608,5.587647,3.327451,1.517647,0.399804,6.19,1.76,1.37,5.07,6.046471,5.549608,3.227647,1.467059,0.389216,?,21.259091,28.906977,33.463043,25.953333,?,19.183333,25.491837,29.64902,23,13.458333,9,31.424,42.108,48.46,44.433333,28.643333,?,18.702381,25.781395,27.429412,18.192308,6.1,19.822857,27.357143,27.87907,18.94,?,24.182353,32.711765,36.629412,27.321277,26.514583,36.473469,41.882,36.194118,7.3,22.07907,30.109302,33.537843,28.151163,49.623529,58.153061,?,13.434091,19.465909,20.570588,11.46,22.641667,31.17551,35.48,29.143,?,22.725,32.453061,37.278,32.222449,9.2,20.280392,27.817647,31.59,23.655882,15.464583,20.191837,19.021277,10.622449,6.1625,6.3,18.807843,24.954902,26.070588,15.009804,12.587647,16.938627,15.349608,6.894583,39.046154,46.867568,20.404348,25.311905,30.118367,27.090909,14.415686,19.116,19.543137,10.510811,21.223684,29.104545,39.630612,47.345652,55.9,?,8.936667,10.403333,6.846667,?,14.839024,20.763415,19.486136,9.447368,6,18.5,24.924,27.643137,18.402,?,21.7,30.116939,33.945098,28.241837,24.204762,33.818182,39.738636,33.351282,23.769388,32.228,37.545098,33.06,21,28.427451,32.194118,25.576471,19215,21342,33677,53569,337236.7059,402339.1961,420377.6863,479667.9782,255240.4118,552626
3.05,1.57,2.05,4.45,3.95,6.2128,3.829,2.3008,1.081224,2.57,1.95,1.53,1.88,4.86,4.263725,2.056863,1.233725,0.746667,2.16,1.24,1.01,1.64,3.57,4.203333,2.131961,1.253725,0.729804,6.76,2.47,4.1,5.52,10.14,7.468667,5.996,4.656,0.807333,6.45,2.18,4.26,5.97,11.51,10.327843,5.876078,3.385882,1.093137,4.27,2.33,2.13,4.63,6.5,5.386364,4.767273,2.813636,0.34,5.71,2.4,2.69,5.41,7.72,7.391176,4.581176,2.403137,0.699608,6.86,2.33,2.62,4.28,8.26,7.771961,4.522549,1.967451,0.646078,4.91,1.73,1.27,4.6,6.19,5.587647,3.327451,1.517647,0.399804,6.19,1.76,1.37,5.07,5.6,5.549608,3.227647,1.467059,0.389216,?,?,28.906977,33.463043,25.953333,?,12.1,25.491837,29.64902,23,13.458333,9,17.1,42.108,48.46,44.433333,28.643333,?,10.2,25.781395,27.429412,18.192308,6.1,12,27.357143,27.87907,18.94,?,19.5,32.711765,36.629412,27.321277,16.8,36.473469,41.882,36.194118,7.3,8.8,30.109302,33.537843,28.151163,49.623529,58.153061,?,10.2,19.465909,20.570588,11.46,12.1,31.17551,35.48,29.143,?,11.8,32.453061,37.278,32.222449,9.2,13.2,27.817647,31.59,23.655882,8.5,20.191837,19.021277,10.622449,6.1625,6.3,11.1,24.954902,26.070588,15.009804,8.8,16.938627,15.349608,6.894583,39.046154,46.867568,10.5,25.311905,30.118367,27.090909,10.5,19.116,19.543137,10.510811,21.223684,14.6,39.630612,47.345652,55.9,?,?,10.403333,6.846667,?,10.4,20.763415,19.486136,9.447368,6,11.6,24.924,27.643137,18.402,?,10.9,30.116939,33.945098,28.241837,15.3,33.818182,39.738636,33.351282,13.1,32.228,37.545098,33.06,10.5,28.427451,32.194118,25.576471,19215,21342,33677,53569,105457,402339.1961,420377.6863,479667.9782,255240.4118,552626
3.05,1.57,2.05,4.45,3.95,3.36,3.829,2.3008,1.081224,2.57,1.95,1.53,1.88,4.86,1.51,2.056863,1.233725,0.746667,2.16,1.24,1.01,1.64,3.57,2.45,2.131961,1.253725,0.729804,6.76,2.47,4.1,5.52,10.14,4.37,5.996,4.656,0.807333,6.45,2.18,4.26,5.97,11.51,4.54,5.876078,3.385882,1.093137,4.27,2.33,2.13,4.63,6.5,3.68,4.767273,2.813636,0.34,5.71,2.4,2.69,5.41,7.72,2.99,4.581176,2.403137,0.699608,6.86,2.33,2.62,4.28,8.26,3.31,4.522549,1.967451,0.646078,4.91,1.73,1.27,4.6,6.19,2.69,3.327451,1.517647,0.399804,6.19,1.76,1.37,5.07,5.6,2.27,3.227647,1.467059,0.389216,?,?,18.3,33.463043,25.953333,?,12.1,18.5,29.64902,23,13.458333,9,17.1,26.1,48.46,44.433333,28.643333,?,10.2,21.2,27.429412,18.192308,6.1,12,19.6,27.87907,18.94,?,19.5,30.6,36.629412,27.321277,16.8,28.6,41.882,36.194118,7.3,8.8,19.5,33.537843,28.151163,29.4,58.153061,?,10.2,23.6,20.570588,11.46,12.1,18.5,35.48,29.143,?,11.8,20.9,37.278,32.222449,9.2,13.2,22.6,31.59,23.655882,8.5,17,19.021277,10.622449,6.1625,6.3,11.1,18.9,26.070588,15.009804,8.8,17.3,15.349608,6.894583,?,46.867568,10.5,16.6,30.118367,27.090909,10.5,15.8,19.543137,10.510811,21.223684,14.6,23.6,47.345652,55.9,?,?,?,6.846667,?,10.4,16.4,19.486136,9.447368,6,11.6,19.4,27.643137,18.402,?,10.9,20,33.945098,28.241837,15.3,28.6,39.738636,33.351282,13.1,22.9,37.545098,33.06,10.5,15.8,32.194118,25.576471,19215,21342,33677,53569,105457,227888,420377.6863,479667.9782,255240.4118,552626
3.05,1.57,2.05,4.45,3.95,3.36,5.02,2.3008,1.081224,2.57,1.95,1.53,1.88,4.86,1.51,2.32,1.233725,0.746667,2.16,1.24,1.01,1.64,3.57,2.45,2.78,1.253725,0.729804,6.76,2.47,4.1,5.52,10.14,4.37,5.86,4.656,0.807333,6.45,2.18,4.26,5.97,11.51,4.54,7.39,3.385882,1.093137,4.27,2.33,2.13,4.63,6.5,3.68,5.31,2.813636,0.34,5.71,2.4,2.69,5.41,7.72,2.99,7.03,2.403137,0.699608,6.86,2.33,2.62,4.28,8.26,3.31,4.94,1.967451,0.646078,4.91,1.73,1.27,4.6,6.19,2.69,4.17,1.517647,0.399804,6.19,1.76,1.37,5.07,5.6,2.27,4.21,1.467059,0.389216,?,?,18.3,17.9,25.953333,?,12.1,18.5,13.7,23,?,9,17.1,26.1,26.7,44.433333,28.643333,?,10.2,21.2,18.9,18.192308,6.1,12,19.6,12.7,18.94,?,19.5,30.6,20.2,27.321277,16.8,28.6,26.4,36.194118,7.3,8.8,19.5,33.537843,28.151163,29.4,28.8,?,10.2,23.6,19,11.46,12.1,18.5,18,29.143,?,11.8,20.9,18.9,32.222449,9.2,13.2,22.6,20.4,23.655882,8.5,17,8.2,10.622449,6.1625,6.3,11.1,18.9,13.1,15.009804,8.8,17.3,8.6,6.894583,?,27.4,10.5,16.6,12.5,27.090909,10.5,15.8,8.4,10.510811,?,14.6,23.6,24.4,55.9,?,?,?,?,?,10.4,16.4,8.4,9.447368,6,11.6,19.4,14.8,18.402,?,10.9,20,13.5,28.241837,15.3,28.6,25.9,33.351282,13.1,22.9,16.9,33.06,10.5,15.8,17,25.576471,19215,21342,33677,53569,105457,227888,252862,479667.9782,255240.4118,552626
1.6,7.47,11.15,3.15,6.75902,6.2128,3.829,2.3008,1.081224,0.85,6.46,8.01,3.18,5.253725,4.263725,2.056863,1.233725,0.746667,0.58,4.41,6.45,2.18,4.846078,4.203333,2.131961,1.253725,0.729804,1.62,12.38,18.12,6.6,12.694,7.468667,5.996,4.656,0.807333,1.77,12.8,20.87,6.5,11.51098,10.327843,5.876078,3.385882,1.093137,1.51,8.32,11.27,3.53,7.352727,5.386364,4.767273,2.813636,0.34,1.03,9.21,12.39,4.72,8.039804,7.391176,4.581176,2.403137,0.699608,1,7.86,15.45,5.24,8.556471,7.771961,4.522549,1.967451,0.646078,0.85,5.34,8.28,3.42,5.879608,5.587647,3.327451,1.517647,0.399804,0.78,5.67,10.62,4.51,6.046471,5.549608,3.227647,1.467059,0.389216,21.6,21.259091,28.906977,33.463043,25.953333,18.9,19.183333,25.491837,29.64902,23,13.458333,26,31.424,42.108,48.46,44.433333,28.643333,26.8,18.702381,25.781395,27.429412,18.192308,22.7,19.822857,27.357143,27.87907,18.94,?,24.182353,32.711765,36.629412,27.321277,26.514583,36.473469,41.882,36.194118,?,22.07907,30.109302,33.537843,28.151163,49.623529,58.153061,15.6,13.434091,19.465909,20.570588,11.46,22.641667,31.17551,35.48,29.143,23.2,22.725,32.453061,37.278,32.222449,?,20.280392,27.817647,31.59,23.655882,15.464583,20.191837,19.021277,10.622449,6.1625,20.7,18.807843,24.954902,26.070588,15.009804,12.587647,16.938627,15.349608,6.894583,39.046154,46.867568,20.404348,25.311905,30.118367,27.090909,14.415686,19.116,19.543137,10.510811,21.223684,29.104545,39.630612,47.345652,55.9,?,8.936667,10.403333,6.846667,?,14.839024,20.763415,19.486136,9.447368,20.8,18.5,24.924,27.643137,18.402,22,21.7,30.116939,33.945098,28.241837,24.204762,33.818182,39.738636,33.351282,23.769388,32.228,37.545098,33.06,21,28.427451,32.194118,25.576471,2034,54406,180732,226425,337236.7059,402339.1961,420377.6863,479667.9782,255240.4118,973817
1.6,7.47,11.15,3.15,2.72,6.2128,3.829,2.3008,1.081224,0.85,6.46,8.01,3.18,1.93,4.263725,2.056863,1.233725,0.746667,0.58,4.41,6.45,2.18,1.62,4.203333,2.131961,1.253725,0.729804,1.62,12.38,18.12,6.6,5.61,7.468667,5.996,4.656,0.807333,1.77,12.8,20.87,6.5,5.75,10.327843,5.876078,3.385882,1.093137,1.51,8.32,11.27,3.53,3.67,5.386364,4.767273,2.813636,0.34,1.03,9.21,12.39,4.72,4.62,7.391176,4.581176,2.403137,0.699608,1,7.86,15.45,5.24,4.85,7.771961,4.522549,1.967451,0.646078,0.85,5.34,8.28,3.42,3.86,5.587647,3.327451,1.517647,0.399804,0.78,5.67,10.62,4.51,4.25,5.549608,3.227647,1.467059,0.389216,21.6,24.7,28.906977,33.463043,25.953333,18.9,20.9,25.491837,29.64902,23,13.458333,26,38.4,42.108,48.46,44.433333,28.643333,26.8,24.5,25.781395,27.429412,18.192308,22.7,26.8,27.357143,27.87907,18.94,?,26.8,32.711765,36.629412,27.321277,33.2,36.473469,41.882,36.194118,?,25.2,30.109302,33.537843,28.151163,49.623529,58.153061,15.6,19.2,19.465909,20.570588,11.46,28.2,31.17551,35.48,29.143,23.2,25.2,32.453061,37.278,32.222449,?,24.1,27.817647,31.59,23.655882,?,20.191837,19.021277,10.622449,6.1625,20.7,24.1,24.954902,26.070588,15.009804,14,16.938627,15.349608,6.894583,39.046154,46.867568,20.6,25.311905,30.118367,27.090909,18.9,19.116,19.543137,10.510811,21.223684,30,39.630612,47.345652,55.9,?,?,10.403333,6.846667,?,20.4,20.763415,19.486136,9.447368,20.8,32,24.924,27.643137,18.402,22,23.5,30.116939,33.945098,28.241837,28.4,33.818182,39.738636,33.351282,24.5,32.228,37.545098,33.06,23.8,28.427451,32.194118,25.576471,2034,54406,180732,226425,217978,402339.1961,420377.6863,479667.9782,255240.4118,973817
