@relation 'AmericanRiv_TrainNoWaterYear-weka.filters.unsupervised.attribute.Remove-R5-9,14-18,23-27,32-36,41-45,50-54,59-63,68-72,77-81,86-90,92-95,97-101,103-107,109-112,114-117,119-126,128-133,135-142,144-147,149-157,159-181,183-185,187-190,192-195,197-212,217-221'

@attribute CPT_RAIN_OCT numeric
@attribute CPT_RAIN_NOV numeric
@attribute CPT_RAIN_DEC numeric
@attribute CPT_RAIN_JAN numeric
@attribute TAC_RAIN_OCT numeric
@attribute TAC_RAIN_NOV numeric
@attribute TAC_RAIN_DEC numeric
@attribute TAC_RAIN_JAN numeric
@attribute TKE_RAIN_OCT numeric
@attribute TKE_RAIN_NOV numeric
@attribute TKE_RAIN_DEC numeric
@attribute TKE_RAIN_JAN numeric
@attribute BYM_RAIN_OCT numeric
@attribute BYM_RAIN_NOV numeric
@attribute BYM_RAIN_DEC numeric
@attribute BYM_RAIN_JAN numeric
@attribute LSP_RAIN_OCT numeric
@attribute LSP_RAIN_NOV numeric
@attribute LSP_RAIN_DEC numeric
@attribute LSP_RAIN_JAN numeric
@attribute SSR_RAIN_OCT numeric
@attribute SSR_RAIN_NOV numeric
@attribute SSR_RAIN_DEC numeric
@attribute SSR_RAIN_JAN numeric
@attribute PCF_RAIN_OCT numeric
@attribute PCF_RAIN_NOV numeric
@attribute PCF_RAIN_DEC numeric
@attribute PCF_RAIN_JAN numeric
@attribute GRG_RAIN_OCT numeric
@attribute GRG_RAIN_NOV numeric
@attribute GRG_RAIN_DEC numeric
@attribute GRG_RAIN_JAN numeric
@attribute FDD_RAIN_OCT numeric
@attribute FDD_RAIN_NOV numeric
@attribute FDD_RAIN_DEC numeric
@attribute FDD_RAIN_JAN numeric
@attribute PCV_RAIN_OCT numeric
@attribute PCV_RAIN_NOV numeric
@attribute PCV_RAIN_DEC numeric
@attribute PCV_RAIN_JAN numeric
@attribute APH_SNOW_JAN numeric
@attribute CAP_SNOW_JAN numeric
@attribute CC5_SNOW_JAN numeric
@attribute CCO_SNOW_JAN numeric
@attribute DRR_SNOW_JAN numeric
@attribute DNS_SNOW_JAN numeric
@attribute ABN_SNOW_JAN numeric
@attribute SPD_SNOW_JAN numeric
@attribute LCP_SNOW_JAN numeric
@attribute LYN_SNOW_JAN numeric
@attribute PHL_SNOW_JAN numeric
@attribute STW_SNOW_JAN numeric
@attribute TBC_SNOW_JAN numeric
@attribute TMF_SNOW_JAN numeric
@attribute UCP_SNOW_JAN numeric
@attribute OCT_FNF numeric
@attribute NOV_FNF numeric
@attribute DEC_FNF numeric
@attribute JAN_FNF numeric
@attribute APR_JUL_SUM_FNF numeric

@data
?,?,?,?,?,?,?,?,1.02,2.5,2.7,5,?,?,?,?,11.11,14.3,5.9,14.91,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,3.62,9.82,3.3,9.95,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,60800,128000,95500,208000,1911500
?,?,?,?,?,?,?,?,2.78,3.63,1.55,1.1,?,?,?,?,4.45,6.78,5.92,2.45,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.12,3.74,3.58,1.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,46000,66800,93000,64000,1494500
?,?,?,?,?,?,?,?,0.5,2.2,3.6,8,?,?,?,?,5.47,8.71,9.95,13.84,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.27,4.59,4.42,9.33,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,27200,44500,85000,223000,1363000
?,?,?,?,?,?,?,?,1.02,8.21,0.4,1.1,?,?,?,?,3.1,20.36,4.13,4.46,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.73,10.26,1.86,2.96,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,15400,182000,63500,71000,2922500
?,?,?,?,?,?,?,?,3.64,0,3.78,2.59,?,?,?,?,10.13,3.7,8.89,8.01,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,4.95,1.95,4.27,3.27,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,140500,59700,65300,204800,1048200
?,?,?,?,?,?,?,?,0,3.4,2.9,12.11,?,?,?,?,0.3,5.6,3.64,25.23,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,3,2.73,14.36,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,13800,18100,20300,450700,3026600
?,?,?,?,?,?,?,?,0.26,0.98,5.1,8.85,?,?,?,?,0.58,4.97,20.56,14.59,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0,2.69,15.02,8.13,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,23100,40100,248700,259700,2713600
?,?,?,?,?,?,?,?,1.36,0.3,7.58,1.5,?,?,?,?,2.47,0.5,18.15,8.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,0.91,0.21,9.54,5.55,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,45800,54500,114400,164400,794800
?,?,?,?,?,?,?,?,0.56,0.94,1,13.95,?,?,?,?,5.06,4.8,5.27,49.02,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,1.62,2.09,3.51,24.35,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,26600,33400,39800,1495100,1694400
?,?,?,?,3.35,7.53,8.92,4.81,0.25,2.76,12.21,6.9,?,?,?,?,6.14,17.98,15.85,11.71,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,2.58,8.64,8.32,6.79,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,35600,278800,475900,527900,1317400
